id,width,depth,height,weight,value,allowedRotations
I0000,570,780,478,81.72,81.72,012345
I0001,570,780,478,81.72,81.72,012345
I0002,570,780,478,81.72,81.72,012345
I0003,570,780,478,96.256,96.256,012345
I0004,570,780,478,96.256,96.256,012345
I0005,570,780,478,96.256,96.256,012345
I0006,1000,1200,975,577.8,577.8,012345
I0007,1000,1200,975,577.8,577.8,012345
I0008,1000,1200,975,577.8,577.8,012345
I0009,1000,1200,975,577.8,577.8,012345
I0010,1000,1200,975,577.8,577.8,012345
I0011,1000,1200,975,577.8,577.8,012345
I0012,1225,1400,1160,278.5,278.5,012345
I0013,1225,1400,1160,278.5,278.5,012345
I0014,1225,1400,1160,278.5,278.5,012345
I0015,1225,1400,1160,278.5,278.5,012345
I0016,1225,1400,1160,278.5,278.5,012345
I0017,1225,1400,1160,278.5,278.5,012345
I0018,1225,1400,1160,278.5,278.5,012345
I0019,1225,1400,1160,278.5,278.5,012345
I0020,1225,1400,1160,278.5,278.5,012345
I0021,1225,1400,1160,278.5,278.5,012345
I0022,570,780,478,100.96,100.96,012345
I0023,570,780,478,100.96,100.96,012345
I0024,570,780,478,100.96,100.96,012345
I0025,570,780,478,100.96,100.96,012345
I0026,570,780,478,100.96,100.96,012345
I0027,1200,1400,1450,179.4,179.4,012345
I0028,1200,1400,1450,179.4,179.4,012345
I0029,1200,1400,1450,179.4,179.4,012345
I0030,1200,1400,1450,179.4,179.4,012345
I0031,1200,1400,1450,179.4,179.4,012345
I0032,1200,1400,1450,179.4,179.4,012345
I0033,1200,1400,1450,179.4,179.4,012345
I0034,1200,1400,1450,179.4,179.4,012345
I0035,1200,1400,1450,179.4,179.4,012345
I0036,1200,1400,1450,179.4,179.4,012345
I0037,1200,1400,1450,179.4,179.4,012345
I0038,1200,1400,1450,179.4,179.4,012345
I0039,1200,1400,1450,179.4,179.4,012345
I0040,1200,1400,1450,179.4,179.4,012345
I0041,1200,1400,1450,179.4,179.4,012345
I0042,1200,1400,1450,179.4,179.4,012345
I0043,1200,1600,975,1471.6,1471.6,012345
I0044,1200,1900,750,713.62,713.62,012345
I0045,1200,1400,1450,179.4,179.4,012345
I0046,1200,1400,1450,179.4,179.4,012345
I0047,1200,1400,1450,179.4,179.4,012345
I0048,1200,1400,1450,179.4,179.4,012345
I0049,1200,1400,1450,179.4,179.4,012345
I0050,1200,1400,1450,179.4,179.4,012345
I0051,1200,1400,1450,179.4,179.4,012345
I0052,1200,1400,1450,179.4,179.4,012345
I0053,1200,1400,1450,179.4,179.4,012345
I0054,1200,1400,1450,179.4,179.4,012345
I0055,1200,1400,1450,179.4,179.4,012345
I0056,1200,1400,1450,179.4,179.4,012345
I0057,1200,1600,1350,303.92,303.92,012345
I0058,1200,1600,1350,303.92,303.92,012345
I0059,1200,1600,1350,303.92,303.92,012345
I0060,1200,1600,1350,303.92,303.92,012345
I0061,1200,1600,1350,303.92,303.92,012345
I0062,1200,1600,1350,303.92,303.92,012345
I0063,1200,1600,1350,303.92,303.92,012345
I0064,1200,1600,1350,303.92,303.92,012345
I0065,1225,1400,1160,317.0,317.0,012345
I0066,1225,1400,1160,317.0,317.0,012345
I0067,1225,1400,1160,317.0,317.0,012345
I0068,1225,1400,1160,317.0,317.0,012345
I0069,1225,1400,1160,317.0,317.0,012345
I0070,1225,1400,1160,317.0,317.0,012345
I0071,1225,1400,1160,317.0,317.0,012345
I0072,1225,1400,1160,317.0,317.0,012345
I0073,1225,1400,1160,317.0,317.0,012345
I0074,1225,1400,1160,317.0,317.0,012345
I0075,1225,1400,1160,317.0,317.0,012345
I0076,1000,1200,750,227.528,227.528,012345
I0077,570,780,478,101.52,101.52,012345
I0078,570,780,478,270.08,270.08,012345
I0079,1200,1600,930,454.873,454.873,012345
I0080,1200,1600,930,454.873,454.873,012345
I0081,1200,1600,930,454.873,454.873,012345
I0082,1200,1600,930,547.3,547.3,012345
I0083,1200,1600,930,547.3,547.3,012345
I0084,1200,1600,930,547.3,547.3,012345
I0085,1200,1600,1350,303.92,303.92,012345
I0086,1200,1600,1350,303.92,303.92,012345
I0087,1200,1600,1350,303.92,303.92,012345
I0088,1200,1600,1350,303.92,303.92,012345
I0089,1200,1600,1350,303.92,303.92,012345
I0090,1200,1600,1350,303.92,303.92,012345
I0091,1200,1600,930,547.3,547.3,012345
I0092,1200,1600,930,547.3,547.3,012345
I0093,1200,1600,930,547.3,547.3,012345
I0094,1200,1600,930,547.3,547.3,012345
I0095,1200,1600,1350,303.92,303.92,012345
I0096,1200,1600,1350,303.92,303.92,012345
I0097,1000,1200,975,246.0,246.0,012345
I0098,1000,1200,545,729.5,729.5,012345
I0099,1000,1200,545,729.5,729.5,012345
I0100,1200,1600,1350,303.92,303.92,012345
I0101,1000,1200,750,229.88,229.88,012345
I0102,1000,1200,750,229.88,229.88,012345
I0103,1000,1200,750,229.88,229.88,012345
I0104,570,780,478,160.56,160.56,012345
I0105,1200,1400,1450,179.4,179.4,012345
I0106,1200,1400,1450,179.4,179.4,012345
I0107,1200,1400,1450,179.4,179.4,012345
I0108,1200,1400,1450,179.4,179.4,012345
I0109,1200,1400,1450,179.4,179.4,012345
I0110,1200,1400,1450,179.4,179.4,012345
I0111,1200,1400,1450,179.4,179.4,012345
I0112,1200,1400,1450,179.4,179.4,012345
I0113,1200,1400,1450,179.4,179.4,012345
I0114,1200,1400,1450,179.4,179.4,012345
I0115,1200,1400,1450,179.4,179.4,012345
I0116,1200,1400,1450,179.4,179.4,012345
I0117,570,780,478,269.32,269.32,012345
I0118,1200,1600,1350,303.92,303.92,012345
I0119,1200,1600,1350,303.92,303.92,012345
I0120,1200,1600,1350,303.92,303.92,012345
I0121,1200,1600,1350,303.92,303.92,012345
I0122,1200,1600,1350,303.92,303.92,012345
I0123,1200,1600,1350,303.92,303.92,012345
I0124,1200,1600,1350,303.92,303.92,012345
I0125,1200,1400,1450,179.4,179.4,012345
I0126,1200,1400,1450,179.4,179.4,012345
I0127,1200,1400,1450,179.4,179.4,012345
I0128,1200,1400,1450,179.4,179.4,012345
I0129,1200,1400,1450,179.4,179.4,012345
I0130,1200,1400,1450,179.4,179.4,012345
I0131,1200,1400,1450,179.4,179.4,012345
I0132,1200,1400,1450,179.4,179.4,012345
I0133,1200,1400,1450,179.4,179.4,012345
I0134,1200,1400,1450,179.4,179.4,012345
I0135,1200,1400,1450,179.4,179.4,012345
I0136,1200,1400,1450,179.4,179.4,012345
I0137,1200,1400,1450,179.4,179.4,012345
I0138,1200,1400,1450,179.4,179.4,012345
